,Unnamed: 0,url,title,price,rating,description,"Brand,Seller,orCollectionName",Modelnumber,PartNumber,ItemShape,Dialwindowmaterialtype,DisplayType,Clasp,Casematerial,Casediameter,CaseThickness,BandMaterial,Bandwidth,BandColor,Dialcolor,Bezelfunction,Movement,Waterresistantdepth,ProductWarranty,Metalstamp,Bezelmaterial,Specialfeatures,Itemweight,Bandsize,Calendar,Warranty,ModelYear,Material,ItemLength,Width,Length,Chain,GemType,Setting,StoneWeight,Waterpressureresistance
147,147,https://www.amazon.com/Bulova-Classic-Quartz-Dress-Stainless/dp/B099KSS6S2/ref=sr_1_147?keywords=bulova&qid=1692030893&sr=8-147,"Bulova Men's Classic Dress 6-Hand Multi-Function Day/Date Quartz Watch, Luminous Hands, 42mm",296.25,4.5,, Bulova , 98C129 , 98C129 , Round , Mineral Glass , Analog , Push Button Deployment Clasp , Stainless Steel , 42 millimeters ,, Stainless Steel , 25 millimeters , Black , Black , Stationary , Quartz , 30 Meters ,,, Stainless Steel , Second Hand ,, Mens Standard , Day-Date , Manufacturer’s warranty can be requested from customer service. Click here to make a request to customer service. ,,,,,,,,,,
148,148,https://www.amazon.com/Bulova-Classic-Quartz-Stainless-Two-Tone/dp/B000FVE2HQ/ref=sr_1_149?keywords=bulova&qid=1692030893&sr=8-149,"Bulova Ladies' Classic Two-Tone Stainless Steel 3-Hand Quartz, White Patterned Dial Style: 98V02",187.5,4.5,"From the Classic Collection. Features two tone stainless steel watch with white patterned dial, and water resistance to 30 meters.   Show the world your shining love of life with this brilliantly polished, two-tone Bulova stainless steel women's dress watch. It's highlighted by the distinctive stainless steel bracelet, which mixes silver and hollow gold-tone heart shapes. It features a thin-profile, elongated oval silver watch case that measures 16mm wide (0.63 inches), and it frames the white dial face with a thin gold outline. The dial has a full Arabic numeral display in gold-tone, as well as tiny gold hands with seconds hand. This precise quartz timepiece also features a scratch-resistant mineral crystal, gold crown, and water resistance to 30 meters (99 feet).   
  In 1875, a young Czech immigrant named Joseph Bulova set up shop in New York City, and a legendary American watch brand was born. Bulova was trained as a jeweler, and his expertise carried over into his watchmaking career, which began around 1911 with boudoir clocks and pocket watches, and soon evolved to include what was then one of the latest and most fashionable technological innovations: the wristwatch. Bulova introduced its first line of wristwatches in 1919. The company grew and prospered, and soon early radio and television ads were declaring, ""America runs on Bulova time."" In the 1950s, continuing its legacy of innovation, Bulova introduced Accutron, the first electronic watch, and the first breakthrough in timekeeping technology in over 300 years. The Accutron timing mechanism was later adapted for use by NASA computers and a Bulova timer was even placed on the moon to control transmissions of data. Bulova timepieces have kept official time aboard Air Force One and have also served as official timepieces for U.S. Olympic teams. Today, Bulova maintains its tradition of excellence in technology and design, offering a diverse collection of beautiful precision timepieces for every occasion.   See more", Bulova , 98V02 , 98V02 , Oval , Mineral , Analog , Jewelry Clasp , Stainless Steel , 23 millimeters , 7 millimeters , Stainless Steel , 9 millimeters , Silver , Mother of pearl , Stationary , Japanese Quartz , 99 Feet ,,, Stainless Steel ,,, Womens Standard , No Calendar , Manufacturer’s warranty can be requested from customer service. Click here to make a request to customer service. ,2011.0,,,,,,,,,
149,149,https://www.amazon.com/Bulova-Mens-Classic-Chain-Bracelet/dp/B08P2QM7DV/ref=sr_1_152?keywords=bulova&qid=1692030893&sr=8-152,Bulova Jewelry Men's Classic Stainless Steel Chain Link Bracelet with Clasp Closure,,4.1,, Bulova , J98B010M ,,,,, Lobster Claw ,,,,,,,,,,,,,,,,,,,, Metal , 0.01 inches ,,, Link Chain , no stone ,,,
150,150,https://www.amazon.com/Bulova-Champlain-Precisionist-Diamond-98D149/dp/B078WWT8HH/ref=sr_1_150?keywords=bulova&qid=1692030893&sr=8-150,Bulova Men's Precisionist Quartz Watch,670.0,4.6,"From the Precisionist Collection with precise timing to 1/1000th of a second and continuous-sweep second hand. New Champlain style in grey IP stainless steel with rose gold-tone accents on case and bracelet, 11 diamonds individually hand set on two-tone black/grey dial with calendar feature, curved mineral glass, screw-back case, fold-over buckle closure with safety lock and extender, and water resistance to 300 meters. Powered by Bulovas proprietary three-prong quartz crystal Precisionist movement with a 262kHz vibrational frequency--eight times greater than standard quartz watches--for unparalleled accuracy.", Bulova , ‎ 98D149 , 98D149 , Round , Sapphire Crystal , Analog , Push Button Deployment Clasp , Stainless Steel , 46.5 millimeters , 14.3 millimeters , Stainless Steel , 24 millimeters , Two-Tone , Black , Stationary , Quartz , 300 Meters ," For warranty information about this product, please click here ", no-metal-stamp , Stainless Steel ," Date, Hour, Minute, Second, GMT ", 15.87 Ounces , Mens Standard , Day-Date ,,,,,,,,,,,
151,151,https://www.amazon.com/Bulova-Mens-Automatic-Wilton-96A207/dp/B07FDN8HDG/ref=sr_1_151?keywords=bulova&qid=1692030893&sr=8-151,Bulova Men's Watch,259.99,4.6,, Bulova , 96A207 , 96A207 , Round , Sapphire Crystal , Analog , Push Button Deployment Clasp , Stainless Steel , 42 millimeters , 12.7 millimeters , Stainless Steel , 22 millimeters , Silver , Silver-White , Stationary , Automatic , 100 Meters ," For warranty information about this product, please click here ",, Stainless Steel , Second Hand , 14.11 Ounces , Mens Standard , Date ,,,,,,,,,,,
152,152,https://www.amazon.com/Bulova-Archive-MIL-SHIPS-W-2181-Stainless-Automatic/dp/B0BVD8RCYR/ref=sr_1_154?keywords=bulova&qid=1692030893&sr=8-154,"Bulova Men's Archive Series MIL-SHIPS-W-2181 Stainless Steel 3-Hand Hack Automatic Watch, Grey Nylon Strap and Black Matte Dial Style: 98A266",681.23,5.0,"Brand new to the Archive Series, the MIL-SHIPS-W-2181 is based on a prototype that was never commercially launched, making 2021 the first time watch enthusiasts will have the opportunity to own this luxury timepiece. The sport watch was inspired by a timepiece developed for the U.S. Navy, and it has a unique paper strip on the dial that indicates if moisture has entered the watch, and will change color should the water resistance — up to 200 meters — ever start to fail. Another unique feature of this watch is that the top ring will only rotate once it is pressed down. The black matte dial is set into a stainless steel case, and has a slate blue NATO strap made with a finely-woven nylon material made to withstand continuous contact with water. This unique watch is versatile enough to be worn every day, but has the features to stand up against any other sport-style watch on the market today.", Bulova , 98A266 , 98A266 , Round , Sapphire Crystal , Analog , 3pc Wire Strap Buckle , Stainless Steel , 41 millimeters , 15.1 millimeters , Nylon , 16 millimeters , Gray , Black , Stationary , Automatic , 200 Meters ,, no-metal-stamp , Stainless Steel , Water Resistant ,, Mens Standard , No Calendar , Manufacturer’s warranty can be requested from customer service. Click here to make a request to customer service. ,,,,,,,,,,
153,153,https://www.amazon.com/Bulova-Lunar-Pilot-Chronograph-96B258/dp/B01D2S3KF8/ref=sr_1_153?keywords=bulova&qid=1692030893&sr=8-153,"Bulova Men's Archive Series Lunar Pilot 6-Hand Chronograph High Performance Quartz Stainless Steel, Sapphire Crystal Style: 96B258",562.5,4.7,"Bulova made space history on August 2, 1971--during the Apollo 15 mission, a moon pilot chronograph, customized for lunar conditions by Bulova engineers, was worn on the moon. Now Bulova makes history again with the special edition Lunar Pilot Chronograph. Features stainless steel screw-back case in silver-tone finish and black dial and sapphire glass.   From the Precisionist Collection. Featuring Bulova’s proprietary Precisionist accuracy, this advanced chronograph offers 1/1,000-second precision over a twelve-hour time frame, with accuracy to within seconds a year. In stainless steel with curved crystal, multiple-layer black carbon fiber, blue, silver and black dial, chronograph measurement of hours, minutes, seconds, 1/10-seconds, 1/100-seconds and 1/1,000-seconds, yellow continuously sweeping second hand, luminous hour and minute hands, luminous markers, tachymeter, calendar, screw-back case, screw-down crown, double-press fold-over clasp with safety lock, and water resistance to 50 meters.Providing an extraordinary level of timing accuracy, the Bulova Precisionist Chronograph is the only chronograph to combine stopwatch timing to 1/1,000-second with Bulova’s exclusive Precisionist-class torsional resonator movement, proven in laboratory testing to be one of the world’s most accurate.Easy and logical to read, each style features four subdials to display the cumulative time at a single glance, with individual measurements on the combined 1/10- and 1/100-second counter, as well as the hour and minute dials, dual-duty floating second hand, and a distinctive 1/1,000-second track with retrograde indicator.Precisionist TechnologyAt the heart of the watch is the Bulova Precisionist-class torsional resonator movement, custom-engineered to provide accuracy to within seconds a year using a three-prong quartz crystal that creates a vibration frequency of 262.144 kHz, the highest of any watch in the world and far greater than that of a standard quartz crystal. In laboratory testing, the Precisionist-class movement has been shown to be three times more accurate than standard quartz. This proprietary manufactured movement, including the signature floating second hand, also offers a resistance to gravitational error that makes it superior in performance to any mechanical watch on the market.Summary of FeaturesPrecision timing to 1/1,000th of a second12-hour chronograph functionOne of the world’s most accurate movements – accurate to within seconds a yearPrecisionist-class torsional resonator movement proven in laboratory testing to be three times more accurate than standard quartzStainless steel case and braceletSapphire GlassMultiple-layer black carbon fiber, blue and silver dialYellow continuously sweeping second handLuminous hour and minute handsLuminous markersCalendar windowTachymeterScrew-backScrew-down crownWater resistant to 50 metersAbout BulovaIn 1875, Joseph Bulova, a 23-year-old immigrant, set up shop in New York City and a legendary American watch brand was born. Since then, Bulova has stood proudly in the vanguard of timekeeping innovation, committed to the legacy of creativity and excellence established by its founder.A pioneering force in the industry, Bulova transformed how watches were worn and how time was perceived, registering over 50 patents as he and his company built a record of creativity including the first full lines of men’s (1919) and ladies’ (1924) wristwatches, the first clock/radio (1928) and the first electric clock (1931). To ensure the utmost in precision, in 1920, Bulova even established its own observatory – located atop its New York skyscraper. With that same spirit of innovation, following World War II, determined “to serve those who served us,” Bulova established The Bulova School of Watchmaking, using new and unique methods to train disabled veterans for positions in the watch and jewelry industry. Then, in 1960, Bulova changed timekeeping forever with the revolutionary Accutron, the world’s first fully electronic watch. An integral component of U.S. space technology, Accutron timing was used on 46 NASA missions, including Apollo XI, the first lunar landing (1969).Today, as one of the world’s most recognized brands, Bulova has expanded across the globe, with four separate watch brands, Bulova, Bulova AccuSwiss, Bulova Accutron II and Caravelle New York, as well as the award-winning Bulova Clocks.The signature Bulova brand provides an extensive selection of watches for every occasion, crafted of the finest materials, including 315L surgical grade stainless steel, diamonds, mother-of-pearl, carbon fiber, top-quality leather and Bulova’s proprietary Duramic nylon/ceramic composite, and powered by Precisionist-class quartz, automatic and quartz movements. An industry leader in diamond watch styling, with the new Diamond Gallery offering exquisite designs in stainless steel with sapphire crystals, Bulova is also known for Precisionist, featuring Bulova’s proprietary Precisionist-class quartz torsional resonator movement for accuracy to within seconds per year, the Marine Star collection, combining high-performance sports timekeeping with superior durability and water resistance to a minimum of 50 meters, and a comprehensive selection of classic styles, each with a three-year limited warranty.   
  SPECIAL EDITION MOON CHRONOGRAPH COLLECTION: After Apollo 15s mission commander made lunar history while wearing his personal Bulova chronograph were making history again. The Bulova Moon Watch replicates that original timepiece, updated with our exclusive high performance quartz movement with a frequency of 262 kHz for unparalleled accuracy, continuing a history of precision timing. Features include super-luminous hands and markers, anti-reflective sapphire glass, tachymeter and calendar all housed in a solid 316L surgical-grade stainless steel case in silver-tone with black dial.   See more", Bulova , 96B258 , 96B258 , Round , Sapphire Crystal ," Bulova made space history on August 2, 1971--during the Apollo 15 mission, a moon pilot chronograph, customized for lunar conditions by Bulova engineers, was worn on the moon. Now Bulova makes history again with the special edition Lunar Pilot Chronograph, updated with our exclusive high performance quartz movement with a frequency of 262 kHz for unparalleled accuracy, continuing a history of precision timing. ", Foldover Clasp With Push Button , Stainless Steel , 45 millimeters , 14 millimeters , Stainless Steel , 20 millimeters , Silver , Black , Stationary , Quartz , 165 Feet ,,, Stainless Steel ," Stop Watch, Luminous Hands, Tachymeter ", 15.87 Ounces , 9.75 inches , Date , Manufacturer’s warranty can be requested from customer service. Click here to make a request to customer service. ,,,,,,,,,,
154,154,https://www.amazon.com/Bulova-Womens-98P134-Diamond-Watch/dp/B00B5JRLUC/ref=sr_1_156?keywords=bulova&qid=1692030893&sr=8-156,Bulova Ladies' Classic Diamond Stainless Steel Watch with Mother of Pearl Dial,176.53,4.6,, Bulova , 98P134 , 98P134 , Round , Mineral , Analog , Push Button Foldover Clasp With Safety , Stainless Steel , 32 millimeters , 8.1 millimeters , Stainless Steel , 16 millimeters , Silver , Mother of pearl , Stationary , Japanese Quartz , 99 Feet ,,, Stainless Steel , Water Resistant , 3 Ounces , 9 inches , year , Manufacturer’s warranty can be requested from customer service. Click here to make a request to customer service. ,2013.0,,,,,,,,,
155,155,https://www.amazon.com/Bulova-J98B003L-Mens-Classic-Cuff/dp/B08JSK8QVG/ref=sr_1_155?keywords=bulova&qid=1692030893&sr=8-155,"Bulova Men's Classic Stainless Steel Open Cuff Bracelet in Silver and Gold Tone, Size: Large, Style: J98B003L",77.99,4.4,"Sleek open cuff bracelet, perfect for layering. Clean sculptural lines crafted in two tone stainless steel – gold-tone on the surface, silver tone on the sides and inside. The flat brushed top surface detailed by a small signature tuning fork logo.", Bulova , J98B003L ,,,,, Buckle ,,,,,,,,,,,,,,,,,,,, Metal ,,,,,,,,
158,158,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozOTIxODkzMjQwNzc3OTIzOjE2OTIwMzA4OTM6c3BfYXRmX25leHQ6MjAwMDgxNTg1NzYwMTUxOjowOjo&url=%2FBulova-Modern-Quartz-Stainless-Gold-Tone%2Fdp%2FB099KT1NTV%2Fref%3Dsr_1_291_sspa%3Fkeywords%3Dbulova%26qid%3D1692030893%26sr%3D8-291-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"Bulova Men's Modern Gold Tone Stainless Steel 3-Hand Calendar Date Quartz Watch, Diamond Dial",249.26,4.7,, Bulova , 97D127 , 97D127 , Round , Mineral Glass , Analog , Push Button Deployment Clasp , Stainless Steel , 40 millimeters , 7.4 millimeters , Stainless Steel , 24 millimeters , Gold-Tone , Black , Stationary , Quartz , 30 Meters ,,, Stainless Steel , Chronograph ,, Mens Standard , Date , Manufacturer’s warranty can be requested from customer service. Click here to make a request to customer service. ,,,,,,,,,,
160,160,https://www.amazon.com/Bulova-98B254-Leather-Calfskin-Bracelet/dp/B014MA405E/ref=sr_1_293?keywords=bulova&qid=1692030893&sr=8-293,Bulova mens 98B254 20mm Leather Calfskin Black Watch Bracelet,221.25,4.6,"From the classic collection. In stainless steel with white dial and rose gold-tone dial accents, double curved mineral glass, three-hand calendar, black leather strap, and water resistance to 30 meters. Diameter: 39mm", Bulova , 98B254 , 98B254 , Round , Mineral , Analog , Buckle , Stainless Steel , 39 millimeters , 8.5 millimeters , 100% genuine leather , 19.2 millimeters , Black , Silver , Stationary , Quartz , 99 Feet ,,, Stainless Steel ,, 1.2 Ounces , 8.75 inches , Date , Manufacturer’s warranty can be requested from customer service. Click here to make a request to customer service. ,2019.0,,,,,,,,,
161,161,https://www.amazon.com/Bulova-96B389-Stainless-Genuine-Leather/dp/B0BFX7R2YY/ref=sr_1_294?keywords=bulova&qid=1692030893&sr=8-294,"Bulova Wilton 96B389 Men's Quartz Watch Stainless Steel with Genuine Leather Strap, strap",217.33,5.0,"Description The Wilton 3-hand quartz watch from the Bulova Classic collection impresses with its versatile elegance and its numerous features and details. This watch features a brushed silver stainless steel case with a grey 3-hand dial with an artfully textured clous de Paris detail, a calendar, polished Roman numerals and a domed glass. The smooth brown leather strap is closed with a folding clasp with pushers for easy opening. Return to basics in style with the classic Wilton from Bulova. Bulova With a history spanning over more than 140 years, Bulova has been one of the leading companies in the industry and has been considered a pioneering pioneer and American classic since the beginnings of 1875. From the moment Joseph Bulova opened his first business in Maiden Lane in Manhattan - then the centre of the New York jewellery industry - his unique vision revolutionised timekeeping. He founded the company on the solid foundation of quality and craftsmanship-with a passion for innovation and perfection. So Bulova changed the industry through authenticity and American inventiveness. Bulova has remained true to its tradition - the company masters the classical art of time keeping and is always ready for the future. A Bulova brand watch is not just a watch - it is a piece of history. Details: Manufacturer number: 96B389. EAN: 7613077590744. Target group: men. Drive movement: quartz Dial colour: grey. Watch glass: mineral glass. Case material: stainless steel. Case colour: silver. Case width: 41 mm. Lug width: 22 mm. Strap material: genuine leather. Band colour: brown. Strap clasp: pin buckle. Water resistance: 3 ATM/bar splash-proof Functions and features: date display", Bulova , 96B389 , 96B389 , Round ,, Analog , Tang Buckle , Stainless Steel , 41 millimeters , 11.3 millimeters , Leather , 22 millimeters , Brown , Black ,, Quartz , 30 Meters ," For warranty information about this product, please click here ",,, Water Resistant ,,,,,,,,,,,,,,
162,162,https://www.amazon.com/Bulova-Regatta-Gold-Tone-Stainless-Bracelet/dp/B084S8QQ96/ref=sr_1_295?keywords=bulova&qid=1692030893&sr=8-295,Bulova Mens Regatta Quartz Gold-Tone Stainless Steel Bracelet,189.99,4.7,"Inspired by Bulova heritage timepieces, the gold-tone stainless steel Regatta features slim Roman numeral markers on a white dial, the crown at the 2 o’clock position, and unique angled lugs and. Flat sapphire crystal, slim quartz movement, and water resistance to 30 meters.", Bulova , 97A153 , 97A153 , Round , Sapphire Crystal , Analog , Push Button Deployment Clasp , Stainless Steel , 38 millimeters , 5.5 millimeters , Stainless Steel , 18 millimeters , Gold , White , Stationary , Quartz , 30 Meters ,, no-metal-stamp , Stainless Steel , Water Resistant , 8 Ounces , Mens Standard , No Calendar , Manufacturer’s warranty can be requested from customer service. Click here to make a request to customer service. ,,,,,,,,,,
163,163,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3MDIwNDk0Mjc1OTkwMzg6MTY5MjAzMDg5MzpzcF9zZWFyY2hfdGhlbWF0aWM6MjAwMDgxNTg1NzYwMTUxOjowOjo&url=%2FBulova-Modern-Quartz-Stainless-Gold-Tone%2Fdp%2FB099KT1NTV%2Fref%3Dsxin_16_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.dda555fd-6ccb-4310-8456-6c1ffb0e71eb%253Aamzn1.sym.dda555fd-6ccb-4310-8456-6c1ffb0e71eb%26cv_ct_cx%3Dbulova%26keywords%3Dbulova%26pd_rd_i%3DB099KT1NTV%26pd_rd_r%3De897b533-6733-4543-89b1-8424a2eb32fd%26pd_rd_w%3D5d6mV%26pd_rd_wg%3DkBmFO%26pf_rd_p%3Ddda555fd-6ccb-4310-8456-6c1ffb0e71eb%26pf_rd_r%3DYP44REZSZWC0AAW43QEE%26qid%3D1692030893%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-289-f853d353-bf33-45e7-b5c2-2cb2b31abc9b-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,"Bulova Men's Modern Gold Tone Stainless Steel 3-Hand Calendar Date Quartz Watch, Diamond Dial",249.26,4.7,, Bulova , 97D127 , 97D127 , Round , Mineral Glass , Analog , Push Button Deployment Clasp , Stainless Steel , 40 millimeters , 7.4 millimeters , Stainless Steel , 24 millimeters , Gold-Tone , Black , Stationary , Quartz , 30 Meters ,,, Stainless Steel , Chronograph ,, Mens Standard , Date , Manufacturer’s warranty can be requested from customer service. Click here to make a request to customer service. ,,,,,,,,,,
164,164,https://www.amazon.com/Bulova-Chronograph-Calendar-Luminous-Resistant/dp/B099KR6HR3/ref=sxin_16_pa_sp_search_thematic_mod_primary_used?content-id=amzn1.sym.dda555fd-6ccb-4310-8456-6c1ffb0e71eb%3Aamzn1.sym.dda555fd-6ccb-4310-8456-6c1ffb0e71eb&cv_ct_cx=bulova&keywords=bulova&pd_rd_i=B099KR6HR3&pd_rd_r=e897b533-6733-4543-89b1-8424a2eb32fd&pd_rd_w=5d6mV&pd_rd_wg=kBmFO&pf_rd_p=dda555fd-6ccb-4310-8456-6c1ffb0e71eb&pf_rd_r=YP44REZSZWC0AAW43QEE&qid=1692030893&sbo=eyPEepoLJVEU2NRNeETf0Q%3D%3D&sbo=eyPEepoLJVEU2NRNeETf0Q%3D%3D&sr=1-293-f853d353-bf33-45e7-b5c2-2cb2b31abc9b,"Bulova Men's Classic Sport 6-Hand Chronograph Quartz Watch, Calendar Date, Luminous Hands and Markers, 100M Water Resistant, 44mm",220.64,4.5,, Bulova , 98B377 , 98B377 , Round , Mineral Glass , Analog , Push Button Foldover Clasp With Safety , Stainless Steel , 44.1 millimeters , 11.48 millimeters , Stainless Steel , 22 millimeters , Gold-Tone , Blue , Stationary , Quartz , 100 Meters ,,, Stainless Steel , Chronograph ,, Mens Standard , Date , Manufacturer’s warranty can be requested from customer service. Click here to make a request to customer service. ,,,,,,,,,,
165,165,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3MDIwNDk0Mjc1OTkwMzg6MTY5MjAzMDg5MzpzcF9zZWFyY2hfdGhlbWF0aWM6MjAwMTQyMDgwMDM5Nzk4OjoxOjo&url=%2FBulova-97A108-Stainless-Function-Automatic%2Fdp%2FB00NX5470S%2Fref%3Dsxin_16_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.dda555fd-6ccb-4310-8456-6c1ffb0e71eb%253Aamzn1.sym.dda555fd-6ccb-4310-8456-6c1ffb0e71eb%26cv_ct_cx%3Dbulova%26keywords%3Dbulova%26pd_rd_i%3DB00NX5470S%26pd_rd_r%3De897b533-6733-4543-89b1-8424a2eb32fd%26pd_rd_w%3D5d6mV%26pd_rd_wg%3DkBmFO%26pf_rd_p%3Ddda555fd-6ccb-4310-8456-6c1ffb0e71eb%26pf_rd_r%3DYP44REZSZWC0AAW43QEE%26qid%3D1692030893%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-290-f853d353-bf33-45e7-b5c2-2cb2b31abc9b-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,"Bulova Men's Classic Sutton 4-Hand Automatic Watch, 24-Hour Sub Dial, Open Aperture, Self-Winding, Exhibition Caseback, Double Curved Mineral Crystal, Luminous Hands, 42mm",412.5,4.5,, Bulova , 97A108 , 97A108 , Round , Mineral , Analog , Push Button Deployment Clasp , Stainless Steel , 42 millimeters , 9.2 millimeters , Stainless Steel , 22 millimeters , Gold , Silver White , Stationary , Automatic , 30 Meters ,,, Stainless Steel , Second Hand ,, Mens Standard , No Calendar , Manufacturer’s warranty can be requested from customer service. Click here to make a request to customer service. ,,,,,,,,,,
166,166,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3MDIwNDk0Mjc1OTkwMzg6MTY5MjAzMDg5MzpzcF9zZWFyY2hfdGhlbWF0aWM6MjAwMDIwNjk0MjgwMjUxOjozOjo&url=%2FBulova-Stainless-Steel-Analog-Quartz-Stainless-Steel%2Fdp%2FB01M2C0VJM%2Fref%3Dsxin_16_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.dda555fd-6ccb-4310-8456-6c1ffb0e71eb%253Aamzn1.sym.dda555fd-6ccb-4310-8456-6c1ffb0e71eb%26cv_ct_cx%3Dbulova%26keywords%3Dbulova%26pd_rd_i%3DB01M2C0VJM%26pd_rd_r%3De897b533-6733-4543-89b1-8424a2eb32fd%26pd_rd_w%3D5d6mV%26pd_rd_wg%3DkBmFO%26pf_rd_p%3Ddda555fd-6ccb-4310-8456-6c1ffb0e71eb%26pf_rd_r%3DYP44REZSZWC0AAW43QEE%26qid%3D1692030893%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-292-f853d353-bf33-45e7-b5c2-2cb2b31abc9b-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,"Bulova Men's Crystal Octava Chronograph Quartz Watch, Pave Crystal Dial",298.89,4.7,"Watch Sizing Guide It's your time to shine in this Bulova® Crystal - 98C126 watch. Stainless steel case. Two-tone stainless steel bracelet with fold-over, double push-button release. Round face. Three-hand analog display with quartz movement. Brilliant dial embellished with 308 Swarovski® Crystals, gold-tone hands, and hour markers, three subdials and Bulova detailing. Water resistant up to 30 meters. Display case included. Imported. Your Bulova watch is covered by Bulova's 3-Year Global Warranty. Measurements: Case Height: 42 mm Case Width: 42 mm Case Depth: 10 mm Band Width: 20 mm Band Circumference/Length: 10 in Weight: 6 oz", Bulova , 98C126 , 98C126 , Octagonal , Synthetic Sapphire , Analog , Deployment Clasp , Stainless Steel , 41.5 millimeters , 9.8 millimeters , Stainless Steel , 22 millimeters , Gold , Silver , Stationary , Quartz , 100 Feet ,, no-metal-stamp (Fashion only) , Stainless Steel , Water Resistant , 8 Ounces , Mens Standard , Day-Date-Month , Warranty details can be found here [PDF ]  ,,,,,,,,,,
167,167,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3MDIwNDk0Mjc1OTkwMzg6MTY5MjAzMDg5MzpzcF9zZWFyY2hfdGhlbWF0aWM6MjAwMDgxNTg1NzYwMTUxOjowOjo&url=%2FBulova-Modern-Quartz-Stainless-Gold-Tone%2Fdp%2FB099KT1NTV%2Fref%3Dsxin_16_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.dda555fd-6ccb-4310-8456-6c1ffb0e71eb%253Aamzn1.sym.dda555fd-6ccb-4310-8456-6c1ffb0e71eb%26cv_ct_cx%3Dbulova%26keywords%3Dbulova%26pd_rd_i%3DB099KT1NTV%26pd_rd_r%3De897b533-6733-4543-89b1-8424a2eb32fd%26pd_rd_w%3D5d6mV%26pd_rd_wg%3DkBmFO%26pf_rd_p%3Ddda555fd-6ccb-4310-8456-6c1ffb0e71eb%26pf_rd_r%3DYP44REZSZWC0AAW43QEE%26qid%3D1692030893%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-289-f853d353-bf33-45e7-b5c2-2cb2b31abc9b-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,"Bulova Men's Modern Gold Tone Stainless Steel 3-Hand Calendar Date Quartz Watch, Diamond Dial",249.26,4.7,, Bulova , 97D127 , 97D127 , Round , Mineral Glass , Analog , Push Button Deployment Clasp , Stainless Steel , 40 millimeters , 7.4 millimeters , Stainless Steel , 24 millimeters , Gold-Tone , Black , Stationary , Quartz , 30 Meters ,,, Stainless Steel , Chronograph ,, Mens Standard , Date , Manufacturer’s warranty can be requested from customer service. Click here to make a request to customer service. ,,,,,,,,,,
